InputText,Intent
================================================================================
start,start
next,next_phase+
query,query+
yes,affirmation+
no,negation+
end,end+
help,help+

dorks,google_dorks+
nmap,nmap_scan+
osint,osint_scan+
target select,target_select+

subdomains,enum_subdomains+
components,identify_web_components+
directory,probe_directory_and_files+
webapp functions,enum_webapp_func+
web tech,discover_web_tech+
server,server_side_enum+
select technology,select_technology+
show,show_vulnerabilities+


show exploits,show_exploits+
exploit details,exploit_details+
next exploit,next_exploit+

report,generate_report+
mitigate,show_mitigations
mail,mail_report+
================================================================================
                               
please move to the next phase,next_phase
move to the next phase,next_phase
next phase please,next_phase
next step,next_phase
carry on to the next step,next_phase
move to the next step,next_phase
proceed to the next step,next_phase
proceed to the next phase,next_phase
move to next step,next_phase
please carry on to the next step,next_phase
please move to the next step,next_phase
please proceed to the next step,next_phase
please proceed to the next phase,next_phase
please move to next step,next_phase
please move to the next step,next_phase
move ahead to the next phase,next_phase
i want to move to next phase,next_phase
i wanna move to the next phase,next_phase
i want to move to next step of pentest,next_phase
let's move to the next phase,next_phase
can we proceed to the next step,next_phase
let's move forward to the next phase,next_phase
onwards to the next phase,next_phase
time to move to the next step,next_phase
let's continue to the next phase,next_phase
move on to the next phase,next_phase
let's advance to the next step,next_phase
time for the next phase,next_phase
let's progress to the next phase,next_phase
let's proceed to the next phase,next_phase
let's carry on to the next phase,next_phase
please proceed to the next phase,next_phase
let's move ahead to the next phase,next_phase
let's go to the next phase,next_phase
we should move to the next phase,next_phase
let's go to the next step,next_phase
move forward to the next phase,next_phase
it's time for the next phase,next_phase
let's transition to the next phase,next_phase
let's move forward,next_phase
let's go forward,next_phase
let's continue,next_phase
can we proceed,next_phase
let's advance,next_phase
can we move forward,next_phase
on to the next phase,next_phase
let's carry on,next_phase
let's progress,next_phase
can we move on,next_phase
let's go to the next step of the pentest,next_phase
time for the next step,next_phase
let's move on,next_phase
we're ready for the next phase,next_phase
let's proceed,next_phase
let's move,next_phase
let's carry on,next_phase
we're ready to move,next_phase
let's move forward,next_phase
time for the next phase,next_phase
let's advance,next_phase
can we proceed,next_phase
let's go to the next phase,next_phase
onwards to the next step,next_phase
time to move to the next phase,next_phase
let's continue to the next phase,next_phase
move on to the next phase,next_phase
let's advance to the next step,next_phase
time for the next phase,next_phase
let's progress to the next phase,next_phase
let's proceed to the next phase,next_phase
let's carry on to the next phase,next_phase
please proceed to the next phase,next_phase
let's move ahead to the next phase,next_phase
let's go to the next phase,next_phase
we should move to the next phase,next_phase
let's go to the next step,next_phase
move forward to the next phase,next_phase
it's time for the next phase,next_phase
let's transition to the next phase,next_phase
let's move forward,next_phase
let's go forward,next_phase
let's continue,next_phase
can we proceed,next_phase
let's advance,next_phase
can we move forward,next_phase
on to the next phase,next_phase
let's carry on,next_phase
let's progress,next_phase
can we move on,next_phase
let's move to the next step of the pentest,next_phase
time for the next step,next_phase
let's move on,next_phase
we're ready for the next phase,next_phase
let's proceed,next_phase
let's move,next_phase
let's carry on,next_phase
we're ready to move,next_phase
let's move forward,next_phase
time for the next phase,next_phase
let's advance,next_phase
can we proceed,next_phase
let's go to the next phase,next_phase
onwards to the next step,next_phase
time to move to the next phase,next_phase
let's continue to the next phase,next_phase
move on to the next phase,next_phase
let's advance to the next step,next_phase
time for the next phase,next_phase
let's progress to the next phase,next_phase
let's proceed to the next phase,next_phase
let's carry on to the next phase,next_phase
please proceed to the next phase,next_phase
let's move ahead to the next phase,next_phase
let's go to the next phase,next_phase
we should move to the next phase,next_phase
let's go to the next step,next_phase
move forward to the next phase,next_phase
it's time for the next phase,next_phase
let's transition to the next phase,next_phase                               
can you tell me more about it?,query
can i know more?,query
can you tell me more,query
please tell me more,query
please elaborate,query
give more details,query
give details,query
please tell me more about it,query
could you explain further?,query
what additional information can you provide?,query
may I ask for more details?,query
could you elaborate on that?,query
please provide more context,query
I'd like to learn more,query
can you shed more light on this?,query
could you expand on this?,query
can you clarify?,query
what else can you tell me?,query
please share more information,query
could you give me more details?,query
I'm curious to know more,query
can you provide more information?,query
I have a question,query
what more can you tell me?,query
please explain further,query
I need more details,query
I'd like more information,query
can you tell me more about this?,query
